"","speed","X.break","Y.break","Type"
"4894",93,-0.5,12.49,"FF"
"7900",72.7,-0.59,-10.46,"CU"
"4890",91.7,-2.87,10.11,"FF"
"982",92.1,-1.28,10.09,"FF"
"1854",92.4,1.8,11.44,"FF"
"6281",93.8,2.19,13.74,"FF"
"5563",94.3,-2.57,11.83,"FF"
"5227",73.2,1.885,-9.926,"CU"
"1791",91.2,0.17,13.98,"FF"
"9023",76,-4.26394883501712,-3.22348159344971,"CU"
"2514",94,4.9,13.7,"FF"
"6872",92.7,2.59,10.16,"FF"
"7219",93.2,-0.05,10.89,"FF"
"8076",91.4,0.37,15.32,"FF"
"1340",91.9,0.54,15.4,"FF"
"2790",93.5,1.49,11.47,"FF"
"6199",92.7,5.54,12.1,"FF"
"958",92,0.58,-3.43,"FF"
"8910",92.2,-0.377370872434246,13.3206887271206,"FF"
"4565",93.7,-0.02,10.88,"FF"
"4639",74.9,0.93,-9.59,"CU"
"2406",93.8,-0.35,11.51,"FF"
"6754",94.2,0.49,9.06,"FF"
"9483",92.2,-1.56334489595083,13.1946481491951,"FF"
"1827",93.9,1.73,9.36,"FF"
"9311",93.3,0.432888023075647,13.2128674466462,"FF"
"4892",93.3,3.47,11.11,"FF"
"6980",72.5,-2.5,-8.43,"CU"
"8598",92,0.884223961448414,10.5029981382061,"FF"
"6294",93.2,-0.84,9.87,"FF"
"2011",93.7,0.71,15.03,"FF"
"5566",73.9,-1.28,-7.8,"CU"
"7848",92.3,2.44,11.46,"FF"
"8021",94.3,-0.79,14.08,"FF"
"3997",91.6,0.64,11.59,"FF"
"3616",93.2,-1.56,11.82,"FF"
"4869",93.5,0.12,12.51,"FF"
"4424",73.5,-2.35,-8.87,"CU"
"2905",91.8,2.21,10.73,"FF"
"2170",92.2,1.45,12.08,"FF"
"3921",91.8,2.66,10.8,"FF"
"7045",73.9,1.03,-11.17,"CU"
"59",73,-4.21,-9.55,"CU"
"3845",91.9,0.66,14.75,"FF"
"9314",73.3,-1.77429955362203,-8.77537526977462,"CU"
"2116",93.1,-0.86,13.17,"FF"
"7267",93.8,-0.24,9.24,"FF"
"5889",93.6,-0.4,8.5,"FF"
"9289",91.3,1.49431190542006,14.3427514280524,"FF"
"5869",93.2,2.56,11.03,"FF"
"700",94.4,-0.1,13.24,"FF"
"9169",93.3,0.0573425379711692,10.2475374191288,"FF"
"5190",91.5,1.62,11.65,"FF"
"8356",92.3,1.03576484737044,14.0100247655746,"FF"
"1775",93.3,0.13,13.06,"FF"
"3859",74.5,-4.02,-9.28,"CU"
"3861",93.9,0.99,11.59,"FF"
"7530",92.9,1,10.6,"FF"
"3767",74.1,-2.08,-9.28,"CU"
"9452",91.8,1.1978281898758,14.4636327789874,"FF"
"8445",71.7,-2.68724331712568,-9.03412523438715,"CU"
"2821",73.5,-2.09,-7.96,"CU"
"7245",93.3,0.6,12.4,"FF"
"6091",72.8,-2.29,-10.41,"CU"
"447",92.7,-0.83,14.65,"FF"
"3180",93.9,2.38,8.84,"FF"
"7760",93.5,2.6,12.14,"FF"
"1261",72.4,-0.18,-9.05,"CU"
"5777",94,2.44,10.89,"FF"
"6540",92.5,0.74,13.23,"FF"
"5423",93,1.44,10.43,"FF"
"8703",93.6,1.22526745681433,13.502465702454,"FF"
"8070",92.9,-1.49,12.81,"FF"
"2435",91.5,2.39,12.75,"FF"
"3390",94.1,0.25,11.16,"FF"
"6965",92.5,-0.53,10.61,"FF"
"6143",72.4,-0.19,-10.46,"CU"
"7712",93.8,-0.09,13,"FF"
"237",92.6,-0.97,12.22,"FF"
"3178",74.2,-5.03,-12.79,"CU"
"3809",91.9,-0.67,12.31,"FF"
"1406",91.4,1.98,9.12,"FF"
"5493",94.9,-0.77,15.35,"FF"
"7755",94,1.36,11.79,"FF"
"8340",92.5,1.66681021347011,13.946806746059,"FF"
"6073",92.6,2.42,11.72,"FF"
"8769",94.3,1.30347680236134,16.0139846793779,"FF"
"3760",93.4,1.8,11.76,"FF"
"2386",94,5.5,12.34,"FF"
"9044",93.6,2.63800341212016,13.9950051942679,"FF"
"4632",93.6,0.01,11.26,"FF"
"5130",95.1,1.29,9.7,"FF"
"658",92.6,0.81,12.18,"FF"
"7780",93.5,0.57,12.77,"FF"
"618",91.6,-2.19,11.38,"FF"
